,user_id,method,tide,lap,falls_num,duration,mean_drift_head,std_drift_head,mean_drift_pelvis,std_drift_pelvis,mean_alpha,std_alpha,mean_beta,std_beta
82,13,Imitation,LowTide,2,0,15.709,0.9184694119721515,0.3419011502047658,0.9832209928894377,0.3672770485328472,1.8613627560976398,0.4563626077802343,0.15597193898409187,0.07963241158890108
83,13,Imitation,LowTide,3,0,23.516,1.6090353628492118,0.805398506366069,1.7061958360794112,0.8437641327278099,1.7477272689683871,0.5653158406955968,0.2466738979863491,0.13445993147912916
84,13,Imitation,HighTide,0,0,18.122,0.48017818853550026,0.2276469732681941,0.5088082283601324,0.21787302109923568,2.0324493732737703,0.2643868201215869,0.1255942885182651,0.06975303354328904
85,13,Imitation,HighTide,1,0,19.409,0.464974624261597,0.15830721142523732,0.5480257627231964,0.15699860527416168,1.6594455306385105,0.4147748979302409,0.16798388194944144,0.056396247841013734
86,13,Imitation,HighTide,2,0,17.02,0.47241910265484827,0.23462240816249583,0.5061006175206084,0.23149905731504059,1.4950675472280364,0.23770638958374699,0.1374023907761087,0.07557466640831202
87,13,Imitation,HighTide,3,1,21.754,0.6171271227882326,0.21103199454940516,0.7013312173743371,0.22626962827005603,1.6278245458702623,0.3752006466965517,0.2003085474644736,0.0777374207861704
88,13,Gamification,LowTide,0,0,24.99,0.6650031458226578,0.4552827190324357,0.7230986720154309,0.47607149036590873,1.9288429350979612,0.3465790930742608,0.3982183957560552,0.3099045276688134
89,13,Gamification,LowTide,1,2,22.585,1.0859326282781239,0.5546888215868142,1.1764067597145236,0.5515542883600488,1.7771156176077483,0.2982158150425341,0.21721791096699636,0.15677476365641904
90,13,Gamification,LowTide,2,0,16.059,0.5566150552502629,0.21553145208464244,0.5871039031710589,0.22067002259015017,1.7486334771516499,0.2769057423527815,0.13504678324925812,0.0824900877258786
91,13,Gamification,LowTide,3,2,35.018,0.6268535235370619,0.37786356171823643,0.6483008508063546,0.4070949114296951,1.683686331880667,0.25805911934646103,0.15415530404554523,0.09134824912850933
92,13,Gamification,HighTide,0,0,23.234,0.3756072946130064,0.12265820790946258,0.39706218126594467,0.11056508729579283,1.777504019075032,0.26106901366273066,0.17495472617129265,0.09929077977247663
93,13,Gamification,HighTide,1,1,28.808,0.8717212731407582,0.26463178778122465,0.9003850280383472,0.28066526059898483,1.597274077961561,0.29628826185563134,0.14581506541100567,0.08910962414001294
94,13,Gamification,HighTide,2,1,27.79,0.5707218256189772,0.3077188311952576,0.5545621708465888,0.3139255608968701,1.6592908377892825,0.2201085426500731,0.16486837721369427,0.11784705667180898
95,13,Gamification,HighTide,3,0,29.105,0.23007028319140005,0.11343076017720273,0.266607262330484,0.1361942146002174,1.5831907735011965,0.29469258495599715,0.16609679822063722,0.0849298284565229
96,14,NoInstructions,LowTide,0,0,13.125,0.5463601162962016,0.21931685511292007,0.544634526244456,0.20993663893230205,1.6813725125556263,0.2600791361401599,0.18038086406501783,0.10055167083317948
97,14,NoInstructions,LowTide,1,0,14.599,0.688554097052186,0.26728400977696165,0.7413739590216699,0.259550125451186,1.6316730152059922,0.32760799797081924,0.13575200039432478,0.07271232816586627
98,14,NoInstructions,LowTide,2,0,14.949,0.8017497290356368,0.3097522094529076,0.8579256543716138,0.29932078663590944,1.6893020894619228,0.39997184148048825,0.11596735489312125,0.06572688639794591
99,14,NoInstructions,LowTide,3,0,13.698,0.8017845603052041,0.31646354077846683,0.8590022998072874,0.30898577266333244,1.4185970226142042,0.31993634792887704,0.13906990127055233,0.08861792853647828
100,14,NoInstructions,HighTide,0,0,10.297,0.15694548731273525,0.2462222873634178,0.21119690590463114,0.2511347601292228,1.225433505272124,0.08640390894358813,0.15713554829629284,0.06402174122793527
101,14,NoInstructions,HighTide,1,0,13.297,0.7191136097793298,0.27230337539637967,0.8558111694903835,0.2803945445421135,1.5331562793368088,0.35654053859363954,0.2557683735233484,0.08627879280224643
102,14,NoInstructions,HighTide,2,1,23.671,1.095830464087134,0.5345201734791221,1.2505774531941203,0.5490154975570138,1.4541049192213802,0.5079977576347353,0.3071576464072875,0.1722296693182836
103,14,NoInstructions,HighTide,3,1,15.064,0.47738020147487475,0.2617958032632852,0.5172416153612841,0.308138687577703,1.616185279486703,0.26823205141593576,0.20933474811156538,0.0945687312223053
